time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-20T04:33:04.380Z,37.7955,-121.979,5.87,2.84,md,95,47,0.002056,0.24,nc,nc72541090,2015-10-21T02:11:04.865Z,"1km N of San Ramon, California",earthquake
2015-10-20T04:06:54.580Z,-30.7799,-71.5016,37.58,4.7,mwr,,69,0.156,0.82,us,us10003pu9,2015-10-20T15:48:23.040Z,"35km SW of Ovalle, Chile",earthquake
2015-10-20T03:31:14.600Z,18.8563,-67.459,17,3,Md,18,280.8,0.46892058,0.3,pr,pr15293000,2015-10-20T11:33:48.815Z,"55km NW of San Antonio, Puerto Rico",earthquake
2015-10-20T02:52:47.600Z,17.9951,-65.587,18,2.7,Md,5,205.2,0.1060012,0.1,pr,pr15293005,2015-10-20T10:55:13.580Z,"16km SW of Esperanza, Puerto Rico",earthquake
2015-10-20T02:45:01.100Z,18.8943,-64.2655,36,2.8,Md,6,324,0.17517148,0.15,pr,pr15293004,2015-10-20T10:47:31.672Z,"64km NE of Road Town, British Virgin Islands",earthquake
2015-10-20T02:30:05.600Z,18.8969,-64.2918,36,3,Md,8,324,0.1706799,0.07,pr,pr15293003,2015-10-20T10:32:48.365Z,"63km NNE of Road Town, British Virgin Islands",earthquake
2015-10-20T01:53:00.490Z,37.465332,-118.6050034,13.91,2.62,md,33,71,0.03352,0.05,nc,nc72541000,2015-10-21T02:36:23.656Z,"17km NW of West Bishop, California",earthquake
2015-10-20T01:30:48.000Z,60.4289,-147.7183,4.7,2.8,ml,,,,1.05,ak,ak11743993,2015-10-20T09:33:24.282Z,"65km SE of Whittier, Alaska",earthquake
2015-10-20T01:18:49.310Z,20.5596667,-156.604,10.224,2.95,ml,10,155,0.3255,0.18,hv,hv61071061,2015-10-20T18:28:29.276Z,"28km SSW of Kihei, Hawaii",earthquake
2015-10-20T00:44:25.780Z,37.7890015,-121.9645004,7.54,2.52,md,43,55,0.0732,0.06,nc,nc72540930,2015-10-20T18:38:06.244Z,"1km NE of San Ramon, California",earthquake
2015-10-20T00:36:55.740Z,12.8368,143.9422,92.75,5.6,mb,,42,1.171,0.9,us,us10003ptl,2015-10-20T15:11:35.000Z,"92km WSW of Merizo Village, Guam",earthquake
2015-10-19T23:21:17.680Z,37.7918333,-121.9635,7.4,3.6,mw,161,56,0.00684,0.15,nc,nc72540765,2015-10-21T04:09:42.021Z,"1km NE of San Ramon, California",earthquake
2015-10-19T23:17:44.000Z,51.4547,-174.4081,17.3,2.8,ml,,,,0.41,ak,ak11743956,2015-10-20T07:20:20.961Z,"83km S of Atka, Alaska",earthquake
2015-10-19T23:02:30.060Z,37.7856667,-121.9645,8.05,2.74,md,89,55,0.006206,0.16,nc,nc72540745,2015-10-21T00:18:04.415Z,"1km ENE of San Ramon, California",earthquake
2015-10-19T22:39:47.670Z,32.7961,-96.9699,5.49,2.7,mb_lg,,79,0.054,1.1,us,us10003pt3,2015-10-20T22:55:34.108Z,"2km SW of Irving, Texas",earthquake
2015-10-19T22:31:52.100Z,19.4258,-66.355,87,3.4,Md,8,288,0.95670578,0.15,pr,pr15292005,2015-10-20T06:34:24.649Z,"106km N of Brenas, Puerto Rico",earthquake
2015-10-19T22:27:39.300Z,19.0655,-67.7906,27,2.8,Md,5,327.6,0.73931348,0.17,pr,pr15292010,2015-10-20T06:30:10.851Z,"83km NE of Punta Cana, Dominican Republic",earthquake
2015-10-19T22:04:42.320Z,19.3333333,-155.1228333,6.802,3.01,ml,50,131,0.04759,0.09,hv,hv61070806,2015-10-20T06:07:21.178Z,"16km SE of Volcano, Hawaii",earthquake
2015-10-19T21:45:06.400Z,18.9633,-67.7502,23,3,Md,6,324,0.62971901,0.11,pr,pr15292009,2015-10-20T05:47:51.092Z,"80km ENE of Punta Cana, Dominican Republic",earthquake
2015-10-19T21:44:44.890Z,30.6888,131.4435,17.92,4.6,mwr,,129,1.179,0.4,us,us10003pst,2015-10-20T05:47:56.116Z,"42km E of Nishinoomote, Japan",earthquake
2015-10-19T20:57:37.400Z,18.9759,-67.8391,30,3.3,Md,8,320.4,0.67912635,0.17,pr,pr15292004,2015-10-20T05:01:25.724Z,"73km NE of Punta Cana, Dominican Republic",earthquake
2015-10-19T20:45:28.100Z,19.5545,-65.5288,55,3.4,Md,5,288,1.26033634,0.05,pr,pr15292008,2015-10-20T04:48:02.502Z,"129km NNE of Vieques, Puerto Rico",earthquake
2015-10-19T20:38:22.350Z,19.7298333,-156.0903333,36.084,2.74,ml,11,241,0.231,0.16,hv,hv61070726,2015-10-19T21:54:32.265Z,"11km W of Kalaoa, Hawaii",earthquake
